,Subject,Date,Start,End
0,Amanda/Doug/Austin CSS,2022-03-17,12:00,13:00
1,Scheduler Revamp Next Steps ,2022-03-16,16:00,16:30
2,Family Vacation,2022-05-08,20:00,20:00
3,Gavin and Doug,2022-03-11,13:45,14:00
4,Time with Lodish to discuss R-trees and next steps,2022-03-11,11:30,12:00
5,2nd day of weekly touch base with Austin,2022-03-18,14:00,14:30
6,Weekly touch base with ALodish,2022-03-15,14:30,15:30
7,Make up meeting with Stacy Lattin,2022-03-15,12:00,13:00
8,Canceled: Meeting with Stacy Lattin,2022-03-08,11:00,12:00
9,Board Games!,2021-07-20,12:00,13:30
10,Board Games!,2022-03-08,11:30,13:00
11,Make up meeting/Nick and Austin,2022-03-01,12:00,13:00
12,Meeting with Stacy Lattin,2022-02-22,12:00,12:30
13,Meeting/Lodish,2022-02-22,12:00,13:00
14,All Hands ,2022-02-16,16:00,17:00
15,All Hands ,2021-12-15,16:00,17:00
16,Live in 5,2017-05-30,13:30,14:30
17,Meeting with Lodish,2022-02-16,12:00,13:00
18,Department Orientation,2022-02-14,13:00,16:00
19,My meeting with Doug Horner,2022-02-11,11:30,12:00
20,Meeting with Stacy Lattin,2022-02-16,11:00,12:00
21,Hold for UI Revamp Working Sessions with Doug ,2021-10-22,10:00,11:30
22,Follow up with Austin,2022-02-10,13:00,13:30
23,Follow up with Lodish,2022-02-07,14:00,15:00
24,Follow up with Austin ,2022-02-03,14:30,15:00
